"Label (Grouping)","District of Columbia, District of Columbia!!Estimate","District of Columbia, District of Columbia!!Margin of Error","District of Columbia, District of Columbia!!Percent","District of Columbia, District of Columbia!!Percent Margin of Error","Hawaii County, Hawaii!!Estimate","Hawaii County, Hawaii!!Margin of Error","Hawaii County, Hawaii!!Percent","Hawaii County, Hawaii!!Percent Margin of Error"
"            Speak English less than ""very well""","24,526","±4,130","3.7%","±0.6","2,495","±1,663","1.2%","±0.8"
"        Other Indo-European languages","34,773","±4,676","5.2%","±0.7","4,348","±1,664","2.2%","±0.8"
"            Speak English less than ""very well""","5,788","±1,878","0.9%","±0.3","1,063","±782","0.5%","±0.4"
"        Asian and Pacific Islander languages","19,552","±2,399","3.0%","±0.4","29,515","±3,555","14.8%","±1.8"
"            Speak English less than ""very well""","6,516","±2,240","1.0%","±0.3","10,969","±2,315","5.5%","±1.2"
"        Other languages","24,873","±6,222","3.8%","±0.9","3,057","±1,978","1.5%","±1.0"
"            Speak English less than ""very well""","7,913","±2,846","1.2%","±0.4","265","±235","0.1%","±0.1"
"ANCESTRY","","","","","","","",""
"    Total population","702,250","*****","702,250","(X)","209,790","*****","209,790","(X)"
"        American","21,329","±4,080","3.0%","±0.6","2,145","±1,110","1.0%","±0.5"
"        Arab","6,014","±1,503","0.9%","±0.2","791","±894","0.4%","±0.4"
"        Czech","2,353","±996","0.3%","±0.1","710","±593","0.3%","±0.3"
"        Danish","2,387","±817","0.3%","±0.1","1,343","±725","0.6%","±0.3"
"        Dutch","3,296","±969","0.5%","±0.1","2,373","±1,022","1.1%","±0.5"
"        English","50,086","±3,863","7.1%","±0.6","15,708","±2,362","7.5%","±1.1"
"        French (except Basque)","9,431","±2,277","1.3%","±0.3","2,566","±868","1.2%","±0.4"
"        French Canadian","1,755","±836","0.2%","±0.1","147","±134","0.1%","±0.1"
"        German","53,219","±4,307","7.6%","±0.6","14,999","±2,802","7.1%","±1.3"
"        Greek","3,908","±1,261","0.6%","±0.2","263","±264","0.1%","±0.1"
"        Hungarian","2,423","±892","0.3%","±0.1","980","±795","0.5%","±0.4"
"        Irish","59,660","±5,190","8.5%","±0.7","14,015","±2,136","6.7%","±1.0"
"        Italian","35,034","±3,847","5.0%","±0.5","4,625","±1,229","2.2%","±0.6"
"        Lithuanian","2,177","±877","0.3%","±0.1","199","±149","0.1%","±0.1"
"        Norwegian","5,910","±1,372","0.8%","±0.2","2,683","±984","1.3%","±0.5"
"        Polish","17,484","±2,917","2.5%","±0.4","1,932","±716","0.9%","±0.3"
"        Portuguese","1,111","±625","0.2%","±0.1","13,239","±3,201","6.3%","±1.5"
"        Russian","7,097","±1,366","1.0%","±0.2","598","±347","0.3%","±0.2"
"        Scotch-Irish","4,187","±1,053","0.6%","±0.1","1,177","±488","0.6%","±0.2"
"        Scottish","13,964","±2,240","2.0%","±0.3","3,110","±1,108","1.5%","±0.5"
"        Slovak","1,040","±854","0.1%","±0.1","145","±161","0.1%","±0.1"
